Subject Activity variable Avg
1 LAYING BodyAccAvg-X 0.22159824394
1 SITTING BodyAccAvg-X 0.261237565425532
1 STANDING BodyAccAvg-X 0.278917629056604
1 WALKING BodyAccAvg-X 0.277330758736842
1 WALKING_DOWNSTAIRS BodyAccAvg-X 0.289188320408163
1 WALKING_UPSTAIRS BodyAccAvg-X 0.255461689622641
2 LAYING BodyAccAvg-X 0.281373403958333
2 SITTING BodyAccAvg-X 0.27708735173913
2 STANDING BodyAccAvg-X 0.277911472222222
2 WALKING BodyAccAvg-X 0.276426586440678
2 WALKING_DOWNSTAIRS BodyAccAvg-X 0.27761534806383
2 WALKING_UPSTAIRS BodyAccAvg-X 0.247164790395833
3 LAYING BodyAccAvg-X 0.275516852741935
3 SITTING BodyAccAvg-X 0.257197599134615
3 STANDING BodyAccAvg-X 0.280046513278689
3 WALKING BodyAccAvg-X 0.275567462068966
3 WALKING_DOWNSTAIRS BodyAccAvg-X 0.292423484693878
3 WALKING_UPSTAIRS BodyAccAvg-X 0.260819873067797
4 LAYING BodyAccAvg-X 0.263559214981481
4 SITTING BodyAccAvg-X 0.27153827992
4 STANDING BodyAccAvg-X 0.280499745892857
4 WALKING BodyAccAvg-X 0.278582015166667
4 WALKING_DOWNSTAIRS BodyAccAvg-X 0.279965329555556
4 WALKING_UPSTAIRS BodyAccAvg-X 0.270876696730769
5 LAYING BodyAccAvg-X 0.278334325576923
5 SITTING BodyAccAvg-X 0.273694139545455
5 STANDING BodyAccAvg-X 0.282544390892857
5 WALKING BodyAccAvg-X 0.27784234625
5 WALKING_DOWNSTAIRS BodyAccAvg-X 0.29354392712766
5 WALKING_UPSTAIRS BodyAccAvg-X 0.268459469914894
6 LAYING BodyAccAvg-X 0.248656520140351
6 SITTING BodyAccAvg-X 0.276778487454545
6 STANDING BodyAccAvg-X 0.280346248596491
6 WALKING BodyAccAvg-X 0.283658868070175
6 WALKING_DOWNSTAIRS BodyAccAvg-X 0.277045258145833
6 WALKING_UPSTAIRS BodyAccAvg-X 0.268229355098039
7 LAYING BodyAccAvg-X 0.250176694038462
7 SITTING BodyAccAvg-X 0.284674637291667
